ID	地点番号	駅名	世代	年齢(調査時)	開始時刻	出身地	生年	性別	1009とうもろこし<家>	1009とうもろこし<TV>	1013片足とび<家>	1013片足とび<TV>	1016びり<家>	1016びり<TV>	1007あざができる<家>	1007あざができる[あざ-]<家>	1007あざができる[-が-]<家>	1007あざができる[-できる]<家>	1007あざができる<TV>
48	NI1813	王子保	中	56	15:05	1	1951	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾄﾞﾝﾍﾟ,ﾄﾞｯｹ,ﾄﾞﾝﾍﾟ"	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
48	NI1813	王子保	若	41	12:58	1	1966	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘｯｹﾂ	ﾋﾞﾘｯｹﾂ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
48	NI1813	王子保	少	16	9:01	1	1990	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾋﾞﾘ	ﾄﾞﾝｹﾂ	ｱｻﾞﾃﾞｷﾙ	ｱｻﾞ	φ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
49	NI1814	南条	高	75	9:50	3	1932	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾃﾞﾎﾟﾝﾎﾟﾝ	ｶﾀｱｼﾃﾞﾎﾟﾝﾎﾟﾝ	ﾄﾞﾝｹﾂ	ｲﾁﾊﾞﾝｵｿｲ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
49	NI1814	南条	中	58	9:50	3	1949	女	ｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾄﾞﾝﾍﾞｶｽ	ﾋﾞﾘ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ﾅｲｼｭｯｹﾂｶﾞﾃﾞｷﾙ
49	NI1814	南条	若	37	10:00	1	1970	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾃﾞﾄﾌﾞ	ｶﾀｱｼﾃﾞﾄﾌﾞ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
49	NI1814	南条	少	13	10:00	1	1994	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ﾋﾟｮﾝﾋﾟｮﾝ	"ﾄﾞﾍﾞ,ﾄﾞﾝｹﾂ"	ﾋﾞﾘ	ｱｵｱｻﾞｶﾞﾃﾞｷﾙ	ｱｵｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
50	NI1815	湯尾	高	76	10:07	1	1930	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ﾄﾞﾝｼﾞﾘ,ﾄﾞﾝﾍﾞ"	"ﾄﾞﾝｼﾞﾘ,ﾗｽﾄ"	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
50	NI1815	湯尾	中	58	10:10	1	1949	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾋﾞﾘｹﾂ"	"ﾋﾞﾘ,ﾋﾞﾘｹﾂ"	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
50	NI1815	湯尾	若	38	10:07	1	1968	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ｻｲｺﾞ	ｱｵﾀﾝｶﾞﾃﾞｷﾙ	ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾙ	ｱｵｱｻﾞﾆﾅﾙ
50	NI1815	湯尾	少	17	14:05	1	1990	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
51	NI1816	今庄	高	75	14:00	1	1932	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	"ｲｯｹﾝｹﾝ,ｶﾀｱｼﾄﾋﾞ"	ｶﾀｱｼﾄﾋﾞ	ｹﾞﾍﾞ	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	"ｱｻﾞﾆﾅﾙ,ｸﾛｹﾞｰﾆﾅﾙ"
51	NI1816	今庄	中	55	18:28	1	1951	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾋﾞﾘ	ｻｲｶｲ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
51	NI1816	今庄	若	35	14:40	1	1971	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ｹﾞﾍﾞ	ｻｲｶｲ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
51	NI1816	今庄	少	14	18:00	1	1992	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞ	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｻﾞﾆﾅﾙ
52	NI1818	敦賀	高	85	16:06	2	1923	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼﾃﾞﾋﾟｮﾝﾋﾟｮﾝ	ｶﾀｱｼﾃﾞﾄﾌﾞ	"ﾋﾞﾘ,ﾋﾞﾘｯｺ"	ｻｲｺﾞ	ｱｵｼﾞﾐﾃﾞｷﾀ	ｱｵｼﾞﾐ	φ	ﾃﾞｷﾀ	ｱｵｲｱｻﾞｶﾞﾃﾞｷﾀ
52	NI1818	敦賀	中	52	10:00	1	1957	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘ,ｹﾞﾍﾞ,ﾄﾞﾝｹﾂ"	ﾋﾞﾘ	"ｱｵｼﾞﾐﾆﾅﾙ,ｱｵｼﾞﾐｶﾞﾃﾞｷﾙ"	"ｱｵｼﾞﾐ,ｱｵｼﾞﾐ"	"ﾆ,ｶﾞ"	"ﾅﾙ,ﾃﾞｷﾙ"	"ｱｵｼﾞﾐﾆﾅﾙ,ｱｵｱｻﾞｶﾞﾃﾞｷﾙ"
52	NI1818	敦賀	若	35	17:00	3<呉竹>	1973	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞ	ﾄﾞﾝｹﾂ	ｱｵｼﾞﾐﾆﾅﾙ	ｱｵｼﾞﾐ	ﾆ	ﾅﾙ	ｳﾁﾐｶﾞﾃﾞｷﾙ
52	NI1818	敦賀	少	17	23:17	3	1993	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾋﾞﾘ	ｻｲｺﾞﾉﾋﾄ	ｱｵｼﾞﾐﾆﾅﾙ	ｱｵｼﾞﾐ	ﾆ	ﾅﾙ	"ﾅｲｼｭｯｹﾂ,ｳﾁﾐﾆﾅﾙ"
53	NI2501	近江塩津	高	64	13:00	1	1942	男	ｺｰﾗｲ	ｺｰﾗｲ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ｹﾞﾍﾞﾀ,ｼﾘﾍﾞﾀ"	ﾋﾞﾘ	ｸﾛｼﾞﾆﾅｯﾀ	ｸﾛｼﾞ	ﾆ	ﾅｯﾀ	ｶﾉｰｼﾀ
53	NI2501	近江塩津	中	54	14:30	1	1952	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾞｯﾀ"	ﾋﾞﾘ	ｱｵｼﾞﾆｼｭﾝﾀﾞ	ｱｵｼﾞ	ﾆ	ｼｭﾝﾀﾞ	ｱｻﾞｶﾞﾃﾞｷﾀ
53	NI2501	近江塩津	若	26	10:00	3	1980	男	ｺｰﾗｲ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｵｼﾞﾆﾅﾙ	ｱｵｼﾞ	ﾆ	ﾅﾙ	ｱｵｼﾞﾆﾅﾙ
53	NI2501	近江塩津	少	14	16:10	1	1992	男	"ﾄｰﾓﾛｺｼ,ｺｰﾗｲ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	"ｳﾁﾐ,ﾀﾞﾎﾞｸ"	"ｳﾁﾐ,ﾀﾞﾎﾞｸ"	"NN,NN"	"NN,NN"	ﾀﾞﾎﾞｸ
54	NI2502	永原	高	74	13:00	1	1932	男	"ﾄｰﾓﾛｺｼ,ｺｰﾗｲ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞｯﾁｬ	ｹﾞﾍﾞﾁｬ	ｸﾛｼﾞｭｰﾆｼﾑ	ｸﾛｼﾞｭｰ	ﾆ	ｼﾑ	ｱｻﾞｶﾞﾃﾞｷﾙ
54	NI2502	永原	中	48	10:50	1	1958	男	"ﾄｰﾓﾛｺｼ,"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	"ｹﾝｹﾝ,ｶﾀｱｼﾄﾋﾞ"	"ﾋﾞﾘ,ﾄﾞﾝｹﾂ,ﾍﾞｯﾀ,ｹﾞｯﾀ"	ｻｲｶｲ	"ｱｵｼﾞﾆｼﾑ,ｸﾛｼﾞﾆｼﾑ"	"ｱｵｼﾞ,ｸﾛｼﾞ"	"ﾆ,ﾆ"	"ｼﾑ,ｼﾑ"	ｱｻﾞｶﾞﾃﾞｷﾙ
54	NI2502	永原	若	25	10:05	1	1981	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｵﾀﾝ	ｱｵﾀﾝ	NN	NN	ｱｵﾀﾝ
54	NI2502	永原	少	14	16:10	1	1992	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞ	"ﾋﾞﾘ,ｻｲｶｲ"	ｱｵﾀﾝ	ｱｵﾀﾝ	NN	NN	ｱｵﾀﾝ
55	NI2503	マキノ	高	66	13:50	1<マキノ蛭口943>	1942	男	"ﾄｰﾓﾛｺｼ,ﾅﾝﾊﾞﾝｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝﾄﾋﾞ	ｹﾝｹﾝﾄﾋﾞ	ﾋﾞﾘ	ﾋﾞﾘ	ｱｵｼﾞﾃﾞｷﾙ	ｱｵｼﾞ	φ	ﾃﾞｷﾙ	ｱｵｼﾞﾃﾞｷﾙ
55	NI2503	マキノ	中	42	13:35	1	1967	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞ	ﾋﾞﾘ	ｱｵｼﾞﾑ	NN	NN	ｱｵｼﾞﾑ	"ｱｻﾞﾆﾅﾙ,ﾅｲｼｭｯｹﾂ"
55	NI2503	マキノ	若	36	19:10	1	1972	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞ	ｹﾂ	ｱｵｼﾞﾑ	NN	NN	ｱｵｼﾞﾑ	ｱｵｼﾞﾑ
55	NI2503	マキノ	少	12	13:35	1	1997	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘ,ｻｲｺﾞ"	ﾋﾞﾘ	"ｱｻﾞｶﾞﾃﾞｷﾙ,ｱｵｼﾞﾛｸﾅｯﾀ"	"ｱｻﾞ,NN"	"ｶﾞ,NN"	"ﾃﾞｷﾙ,ｱｵｼﾞﾛｸﾅｯﾀ"	ｱｻﾞｶﾞﾃﾞｷﾙ
56	NI2504	近江中庄	高	76	16:30	1	1932	男	ﾅﾝﾊﾞﾝｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝﾄﾋﾞ	"ｹﾝｹﾝﾄﾋﾞ,ｶﾀｱｼﾄﾋﾞ"	ﾋﾞﾘ	ｻｲｶｲ	"ｱｵｽﾞﾝﾀ,ｱｵｽﾞﾝﾃﾞﾙ"	"NN,NN"	"NN,NN"	"ｱｵｽﾞﾝﾀ,ｱｵｽﾞﾝﾃﾞﾙ"	ﾅｲｼｭｯｹﾂｼﾀ
56	NI2504	近江中庄	中	46	17:45	1	1963	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾍﾞ	"ﾋﾞﾘ,ｻｲｶｲ"	ｱｵｼﾞﾝﾀﾞ	NN	NN	ｱｵｼﾞﾝﾀﾞ	
56	NI2504	近江中庄	若	29	17:10	1	1979	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	"ｹﾝｹﾝ,ｹﾝｹﾝﾊﾟ"	ｹﾝｹﾝ	"ｹﾞﾍﾞ,ﾄﾞﾍﾞ"	ｻｲｶｲ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
56	NI2504	近江中庄	少	18	16:15	1	1990	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	"ｹﾝｹﾝ,ｹﾝｹﾝﾊﾟ"	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾞﾍﾞ"	"ﾋﾞﾘ,ｻｲｶｲ"	ｱｵﾀﾝｶﾞﾃﾞｷﾙ	ｱｵﾀﾝ	ｶﾞ	ﾃﾞｷﾙ	ｱｵﾀﾝｶﾞﾃﾞｷﾙ
57	NI2505	近江今津	高	64	13:12	1	1942	女	ﾅﾝﾊﾞﾝｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾄﾞﾝｼﾞﾘ,ｹﾞﾍﾞｯﾁｬ,ｹﾞﾍﾞﾁｬ,ﾄﾞﾝｹﾞ"	ﾄﾞﾝｼﾞﾘ	ｱｵｼﾞｭﾆｼｭﾝﾀﾞ	ｱｵｼﾞｭ	ﾆ	ｼｭﾝﾀﾞ	NR
57	NI2505	近江今津	中	51	11:00	1	1955	男	"ﾄｰﾓﾛｺｼ,ﾅﾝﾊﾞﾝｷﾋﾞ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ﾄﾞﾝｹﾞﾂ	ﾋﾞﾘ	ｸﾛｼﾞｶﾞｼﾑ	ｸﾛｼﾞ	ｶﾞ	ｼﾑ	NR
57	NI2505	近江今津	若	32	14:16	1	1974	男	ﾅﾝﾊﾞﾝｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ﾄﾞﾝｹﾂ,ｹﾞﾍﾞﾀ"	ｻｲｶｲ	ｱｵｼﾞﾝﾀﾞ	NN	NN	ｱｵｼﾞﾝﾀﾞ	ｱｵｼﾞﾝﾀﾞ
57	NI2505	近江今津	少	15	16:08	1	1991	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｶﾀｱｼｼﾞｬﾝﾌﾟ	ｶﾀｱｼｼﾞｬﾝﾌﾟ	ﾋﾞﾘ	"ｹﾞｽｯﾍﾟ,ｻｲｶｲ"	ｱｵｼﾞﾝﾀﾞ	NN	NN	ｱｵｼﾞﾝﾀﾞ	ﾀﾞﾎﾞｸ
58	NI2506	新旭	高	72	12:55	1	1934	男	"ｽｲｰﾄｺｰﾝ,ﾄｰﾓﾛｺｼ,ﾅﾝﾊﾞﾝｷﾋﾞ"	ｽｲｰﾄｺｰﾝ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ｹﾞﾍﾞ,ﾋﾞﾘｯｺ"	ﾋﾞﾘｯｺ	ｱｵｼﾞｭﾝﾀﾞ	NN	NN	ｱｵｼﾞｭﾝﾀﾞ	ﾅｲｼｭｯｹﾂ
58	NI2506	新旭	中	53	14:00	1	1953	男	ﾄｰﾓﾛｺｼ	ｽｲｰﾄｺｰﾝ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ﾋﾞﾘ,ｹﾞﾍﾞ,ｹﾞﾍﾞﾀ,ﾄﾞﾝｹﾂ"	"ｻｲｼｭｰﾗﾝﾅｰ,ｻｲｺｰﾋﾞ"	ｱｵﾀﾝ	ｱｵﾀﾝ	NN	NN	ｱｻﾞ
58	NI2506	新旭	若	27	15:10	1	1979	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ｹﾞﾍﾞ,ﾍﾞﾍﾞ,ﾄﾞﾝｹﾂ"	ｻｲｶｲ	ｱｵｱｻﾞ	ｱｵｱｻﾞ	NN	NN	ｱｻﾞ
58	NI2506	新旭	少	11	16:25	1	1995	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ｹﾞｽｯﾍﾟ	ｱｵｸﾅｯﾀ	NN	NN	ｱｵｸﾅｯﾀ	
59	NI2507	安曇川	高	62	15:20	1	1944	男	ﾅﾝﾊﾞﾝｷﾋﾞ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝｼﾞﾘ	ﾋﾞﾘ	"ｱｵｼﾞﾐ,ｱｵｼﾞﾝﾀﾞ"	"ｱｵｼﾞﾐ,NN"	"NN,NN"	"NN,ｱｵｼﾞﾝﾀﾞ"	ｱｻﾞｶﾞﾃﾞｷﾙ
59	NI2507	安曇川	中	52	13:30	1	1954	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	"ｹﾞﾍﾞ,ﾄﾞﾝｼﾞﾘ"	"ｹﾞﾍﾞ,ｻｲｼｭｰﾗﾝﾅｰ"	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
59	NI2507	安曇川	若	34	14:25	1	1972	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞ	ｹﾞﾍﾞ	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
59	NI2507	安曇川	少	13	16:30	1	1993	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｶﾀｱｼﾄﾋﾞ	ｹﾞﾍﾞ	ｻｲｶｲ	ｱｵﾀﾝ	ｱｵﾀﾝ	NN	NN	ｱｻﾞｶﾞﾃﾞｷﾙ
60	NI2508	近江高島	高	76	19:20	1	1932	男	ﾅﾝﾊﾞﾝ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ｹﾞﾍﾞｯﾁｮ	ﾋﾞﾘ	ｱｵｼﾞﾝﾀﾞ	NN	NN	ｱｵｼﾞﾝﾀﾞ	ｱｵｼﾞﾝﾀﾞ
60	NI2508	近江高島	中	45	20:10	1	1963	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾄﾞﾝｹﾞﾍﾞ	ﾋﾞﾘ	ｱｻﾞﾆﾅﾙ	ｱｻﾞ	ﾆ	ﾅﾙ	ｱｵｱｻﾞﾆﾅﾙ
60	NI2508	近江高島	若	21	20:45	1	1987	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞﾘ,ｹﾂ,ｻｲｺﾞ"	ﾋﾞﾘ	"ｱｵｼﾞﾑ,ｱｵｼﾞﾝﾃﾞｷﾀ"	"NN,NN"	"NN,NN"	"ｱｵｼﾞﾑ,ｱｵｼﾞﾝﾃﾞｷﾀ"	ｱｻﾞｶﾞﾃﾞｷﾀ
60	NI2508	近江高島	少	13	19:15	99<安曇川>	1995	女	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾋﾞﾘ	ﾋﾞﾘ	"ｱｻﾞﾃﾞｷﾙ,ｱｵﾀﾝ"	"ｱｻﾞ,ｱｵﾀﾝ"	"φ,NN"	"ﾃﾞｷﾙ,NN"	ｱｻﾞﾃﾞｷﾙ
61	NI2509	北小松	高	78	14:10	1	1928	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	"ﾋﾞｰﾋﾞｰ,ﾋﾞﾋﾞｯﾁｮ"	"ﾋﾞｰﾋﾞｰ,ﾋﾞﾋﾞｯﾁｮ"	ｱｻﾞｶﾞﾃﾞｷﾙ	ｱｻﾞ	ｶﾞ	ﾃﾞｷﾙ	ｱｻﾞｶﾞﾃﾞｷﾙ
61	NI2509	北小松	中	50	11:20	1	1956	男	"ﾄｰﾓﾛｺｼ,ﾅﾝﾊﾞﾝ"	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾍﾞｯﾀｺ	ﾍﾞﾍﾞｯﾀｺ	ｱｵﾀﾝﾆﾅﾙ	ｱｵﾀﾝ	ﾆ	ﾅﾙ	ﾅｲｼｭｯｹﾂ
61	NI2509	北小松	若	35	13:10	1	1971	男	ﾄｰﾓﾛｺｼ	ﾄｰﾓﾛｺｼ	ｹﾝｹﾝ	ｹﾝｹﾝ	ﾍﾞﾍﾞ	ﾋﾞﾘ	ｱｵｼﾞﾑ	NN	NN	ｱｵｼﾞﾑ	ﾅｲｼｭｯｹﾂ
